cfgId,reqLevel,reqMoney,itemid1,itemnum1,itemid2,itemnum2,itemid3,itemnum3,resCfgId,,,,
10098,40,1000,23121,8,23131,8,23075,4,10099,,,,
10099,50,5000,23122,8,23132,16,23076,8,10100,,,,
10100,60,10000,23123,8,23133,32,23077,16,10101,,,,
10101,70,50000,23124,8,23134,64,23078,32,10102,,,,
10102,80,100000,23125,8,23135,128,23079,64,10103,,,,
10103,90,500000,23126,8,23136,256,23080,128,10104,,,,
10105,20,100,23120,8,23130,4,23074,2,10106,,,,
10106,40,1000,23121,8,23131,8,23075,4,10107,,,,
10107,50,5000,23122,8,23132,16,23076,8,10108,,,,
10108,60,10000,23123,8,23133,32,23077,16,10109,,,,
10109,70,50000,23124,8,23134,64,23078,32,10110,,,,
10110,80,100000,23125,8,23135,128,23079,64,10111,,,,
10111,90,500000,23126,8,23136,256,23080,128,10112,,,,
10113,20,100,23120,8,23130,4,23074,2,10114,,,,
10114,40,1000,23121,8,23131,8,23075,4,10115,,,,
10115,50,5000,23122,8,23132,16,23076,8,10116,,,,
10116,60,10000,23123,8,23133,32,23077,16,10117,,,,
10117,70,50000,23124,8,23134,64,23078,32,10118,,,,
10118,80,100000,23125,8,23135,128,23079,64,10119,,,,
10119,90,500000,23126,8,23136,256,23080,128,10120,,,,
10121,20,100,23120,8,23130,4,23074,2,10122,,,,
10122,40,1000,23121,8,23131,8,23075,4,10123,,,,
10123,50,5000,23122,8,23132,16,23076,8,10124,,,,
10124,60,10000,23123,8,23133,32,23077,16,10125,,,,
10125,70,50000,23124,8,23134,64,23078,32,10126,,,,
10126,80,100000,23125,8,23135,128,23079,64,10127,,,,
10127,90,500000,23126,8,23136,256,23080,128,10128,,,,
10129,20,100,23120,8,23130,4,23074,2,10130,,,,
10130,40,1000,23121,8,23131,8,23075,4,10131,,,,
10131,50,5000,23122,8,23132,16,23076,8,10132,,,,
10132,60,10000,23123,8,23133,32,23077,16,10133,,,,
10133,70,50000,23124,8,23134,64,23078,32,10134,,,,
10134,80,100000,23125,8,23135,128,23079,64,10135,,,,
10135,90,500000,23126,8,23136,256,23080,128,10136,,,,
10137,20,100,23120,8,23130,4,23074,2,10138,,,,
10138,40,1000,23121,8,23131,8,23075,4,10139,,,,
10139,50,5000,23122,8,23132,16,23076,8,10140,,,,
10140,60,10000,23123,8,23133,32,23077,16,10141,,,,
10141,70,50000,23124,8,23134,64,23078,32,10142,,,,
10142,80,100000,23125,8,23135,128,23079,64,10143,,,,
10143,90,500000,23126,8,23136,256,23080,128,10144,,,,
10145,20,100,23120,8,23130,4,23074,2,10146,,,,
10146,40,1000,23121,8,23131,8,23075,4,10147,,,,
10147,50,5000,23122,8,23132,16,23076,8,10148,,,,
10148,60,10000,23123,8,23133,32,23077,16,10149,,,,
10149,70,50000,23124,8,23134,64,23078,32,10150,,,,
10150,80,100000,23125,8,23135,128,23079,64,10151,,,,
10151,90,500000,23126,8,23136,256,23080,128,10152,,,,
10153,20,100,23120,8,23130,4,23074,2,10154,,,,
10154,40,1000,23121,8,23131,8,23075,4,10155,,,,
10155,50,5000,23122,8,23132,16,23076,8,10156,,,,
10156,60,10000,23123,8,23133,32,23077,16,10157,,,,
10157,70,50000,23124,8,23134,64,23078,32,10158,,,,
10158,80,100000,23125,8,23135,128,23079,64,10159,,,,
10159,90,500000,23126,8,23136,256,23080,128,10160,,,,
10161,20,100,23120,8,23130,4,23074,2,10162,,,,
10162,40,1000,23121,8,23131,8,23075,4,10163,,,,
10163,50,5000,23122,8,23132,16,23076,8,10164,,,,
10164,60,10000,23123,8,23133,32,23077,16,10165,,,,
10165,70,50000,23124,8,23134,64,23078,32,10166,,,,
10166,80,100000,23125,8,23135,128,23079,64,10167,,,,
10167,90,500000,23126,8,23136,256,23080,128,10168,,,,
10169,20,100,23120,8,23130,4,23074,2,10170,,,,
10170,40,1000,23121,8,23131,8,23075,4,10171,,,,
10171,50,5000,23122,8,23132,16,23076,8,10172,,,,
10172,60,10000,23123,8,23133,32,23077,16,10173,,,,
10173,70,50000,23124,8,23134,64,23078,32,10174,,,,
10174,80,100000,23125,8,23135,128,23079,64,10175,,,,
10175,90,500000,23126,8,23136,256,23080,128,10176,,,,
10177,20,100,23120,8,23130,4,23074,2,10178,,,,
10178,40,1000,23121,8,23131,8,23075,4,10179,,,,
10179,50,5000,23122,8,23132,16,23076,8,10180,,,,
10180,60,10000,23123,8,23133,32,23077,16,10181,,,,
10181,70,50000,23124,8,23134,64,23078,32,10182,,,,
10182,80,100000,23125,8,23135,128,23079,64,10183,,,,
10183,90,500000,23126,8,23136,256,23080,128,10184,,,,
10185,20,100,23120,8,23130,4,23074,2,10186,,,,
10186,40,1000,23121,8,23131,8,23075,4,10187,,,,
10187,50,5000,23122,8,23132,16,23076,8,10188,,,,
10188,60,10000,23123,8,23133,32,23077,16,10189,,,,
10189,70,50000,23124,8,23134,64,23078,32,10190,,,,
10190,80,100000,23125,8,23135,128,23079,64,10191,,,,
10191,90,500000,23126,8,23136,256,23080,128,10192,,,,
