id,name,type,level,frontmission,needmoney,needitem,needhero,dialogue,objective,npc,completetype,targetid,number,taskreward
2034,人多势众·贰,2,24,2033,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有5个20级以上侠客,-1,262,20,5,2017
2035,人多势众·叁,2,34,2034,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有5个40级以上侠客,-1,262,40,5,2023
2036,人多势众·肆,2,44,2035,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有3个50级以上侠客,-1,262,50,3,2033
2037,人多势众·伍,2,54,2036,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有5个60级以上侠客,-1,262,60,5,2041
2038,人多势众·陆,2,64,2037,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有3个70级以上侠客,-1,262,70,3,2050
2039,人多势众·柒,2,74,2038,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有5个70级以上侠客,-1,262,70,5,2058
2040,人多势众·捌,2,84,2039,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有3个80级以上侠客,-1,262,80,3,2066
2041,人多势众·玖,2,94,2040,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有3个90级以上侠客,-1,262,90,3,2074
2042,人多势众·终,2,98,2041,-1,-1,-1,跟人PK时，自己人越多越强越好。,拥有1个100级以上侠客,-1,262,100,1,2078
2043,竞技场战斗,2,17,16,-1,-1,-1,想要战斗经验丰富，去竞技场是个好想法，战斗，战斗！,进行3次竞技场战斗,-1,350,0,3,2008
2044,合成装备,2,25,24,-1,-1,-1,拥有神兵利器是每个江湖人的梦想，合成装备是个夺取装备的好来源！,合成1件4星级品质的装备,-1,251,4,1,2013
2045,装备护佑·壹,2,35,34,-1,-1,-1,护佑可以大幅度提升装备的基础和强化属性数值。,任意装备护佑至白色1阶,-1,353,0,1,2026
2046,装备护佑·贰,2,54,2045,-1,-1,-1,护佑可以大幅度提升装备的基础和强化属性数值。,任意装备护佑至绿色1阶,-1,353,0,6,2042
2047,装备护佑·叁,2,64,2046,-1,-1,-1,护佑可以大幅度提升装备的基础和强化属性数值。,任意装备护佑至蓝色1阶,-1,353,0,11,2051
2048,装备护佑·肆,2,74,2047,-1,-1,-1,护佑可以大幅度提升装备的基础和强化属性数值。,任意装备护佑至紫色1阶,-1,353,0,16,2059
2049,装备护佑·伍,2,94,2048,-1,-1,-1,护佑可以大幅度提升装备的基础和强化属性数值。,任意装备护佑至金色1阶,-1,353,0,21,2075
2050,被动技能,2,100,39,-1,-1,-1,被动技能可以大幅增强侠客实力，没有被动技能的侠客不是好侠客1,拥有1个3被动技能的侠客,-1,354,0,3,2030
2052,四处逃窜,2,17,16,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【四处逃窜】,-1,201,20102,1,2009
2053,交给你了,2,18,2052,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【交给你了】,-1,201,20201,1,2010
2054,四处看看,2,19,2053,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【四处看看】,-1,201,20202,1,2012
2055,鬼祟贼人,2,20,2054,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【鬼祟贼人】,-1,201,20203,1,2014
2056,山门遭拒,2,22,2055,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【山门遭拒】,-1,201,20301,1,2015
2057,故意冷落,2,23,2056,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【故意冷落】,-1,201,20302,1,2016
2058,玉虚拿人,2,24,2057,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【玉虚拿人】,-1,201,20303,1,2018
2059,一片狼藉,2,33,2058,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【一片狼藉】,-1,201,20401,1,2022
2060,大敌当前,2,34,2059,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【大敌当前】,-1,201,20402,1,2024
2061,山门遇阻,2,35,2060,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【山门遇阻】,-1,201,20403,1,2027
2062,拜访四友,2,42,2061,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【拜访四友】,-1,201,20501,1,2031
2063,轻松过关,2,43,2062,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【轻松过关】,-1,201,20502,1,2032
2064,渐有难度,2,44,2063,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【渐有难度】,-1,201,20503,1,2034
2065,一见如故,2,45,2064,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【一见如故】,-1,201,20504,1,2036
2066,码头挑战,2,52,2065,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【码头挑战】,-1,201,20601,1,2039
2067,八卦迷阵,2,53,2066,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【八卦迷阵】,-1,201,20602,1,2040
2068,先破杜门,2,54,2067,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【先破杜门】,-1,201,20603,1,2043
2069,再入景门,2,55,2068,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【再入景门】,-1,201,20604,1,2045
2070,勇闯大会,2,62,2069,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【勇闯大会】,-1,201,20701,1,2048
2071,小露一手,2,63,2070,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【小露一手】,-1,201,20702,1,2049
2072,稍有难度,2,64,2071,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【稍有难度】,-1,201,20703,1,2052
2073,联盟正道,2,72,2072,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【联盟正道】,-1,201,20801,1,2056
2074,码头堵截,2,73,2073,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【码头堵截】,-1,201,20802,1,2057
2075,扬帆出海,2,74,2074,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【扬帆出海】,-1,201,20803,1,2060
2076,得知消息,2,82,2075,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【得知消息】,-1,201,20901,1,2064
2077,前往打探,2,83,2076,-1,-1,-1,神兵利器，江湖绝学，江湖闻名，打败BOSS后以上就都是你的。,通过精英关卡【前往打探】,-1,201,20902,1,2065
